id,ジャンル,問題文,ア,イ,ウ,エ,正解,解説,
202501,ストラテジ,"A社がB社に作業の一部を請負契約で委託している。作業形態a〜cのうち,いわゆる偽装請負とみなされる状態だけを全て挙げたものはどれか。
a B社の従業員が,A社内において,A社の責任者の指揮命令の下で,請負契約で取り決めた作業を行っている。
b B社の従業員が,A社内において,B社の責任者の指揮命令の下で,請負契約で取り決めた作業を行っている。
c B社の従業員が,B社内において,A社の責任者の指揮命令の下で,請負契約で取り決めた作業を行っている。",a,"a,b","a,c","b,c",ウ,A社の責任者が直接指揮命令をしているaとcが偽装請負となる。,
202502,ストラテジ,"従来の情報セキュリティマネジメントシステム規格を基礎に追加で制定されたも
ので,クラウドサービスに対応した情報セキュリティ管理体制を構築するためのガイドライン規格として,最も適切なものはどれか。",ISO14001,JISQ15001,ISO/IEC27017,ISO9001,ウ,ISO/IEC27017は，従来のISO/IEC27001（情報セキュリティマネジメントシステム：ISMS）を基礎として，クラウドサービスに特化した情報セキュリティ管理策を追加したガイドライン規格である。,
202503,ストラテジ,"政府は,官民データ活用推進基本法に定められた“官民データ活用推進基本計画”を策定し,官民データの公開や活用の促進に取り組んでいる。次の組織体のうち,官民データを所有しているものだけを全て挙げたものはどれか。
a 県庁
b 大学
c 電力事業者
d 独立行政法人","a,b,c","a,b,c,d","a,b,d","a,c,d",イ,"大学は教育・研究に関するデータを大量に保持し，官民データ活用推進基本法の対象データが明確に存在するため，
選択肢の中では「大学」だけが確実に官民データを所有しているから。",
202504,ストラテジ,"投資の優先度などの経営の戦略を策定するために,経済価値,希少性,模倣困難性及び組織の四つの要素で評価することによって,自社のもつ資源を分析する手法として,最も適切なものはどれか。",４P,PPM,SWOT分析,VRIO分析,エ,"経済価値・希少性・模倣困難性・組織（Value,Rarity,Imitability,Organization）の4要素で自社資源を評価する手法はVRIO分析であり,競争優位の源泉を判断するために用いられる。",
202505,ストラテジ,"A社ではB商品の仕入れと販売を行っている。ある期のB商品の仕入単価は期首から上昇し続け,期末が最も高くなった。当該期の売上原価を“期首棚卸高+当期商品仕入高一期末棚卸高”で計算するとき,期末棚卸高の計算に期末の仕入単価を用いると,B商品の期末棚卸高及び売上原価は,期中の仕入単価の平均値を用いる場合に比べてどのようになるか。","期末棚卸高,売上原価ともに上がる。","期末棚卸高,売上原価ともに変わらない。","期末棚卸高は上がり,売上原価は下がる。","期末棚卸高は下がり,売上原価は上がる。",ウ,"仕入単価が期末に向かって上昇しているため,期末単価を用いると期中平均単価より高くなる。その結果,期末棚卸高は増加する。
売上原価は「期首棚卸高＋仕入高－期末棚卸高」で計算されるため,期末棚卸高が増える分,売上原価は減少する。",
202506,ストラテジ,"特定電子メール法は,電子メールによる一方的な広告宣伝メールの送信を規制する法律である。企業担当者が行った次の電子メールの送信事例のうち,特定電子メール法の規制対象となり得るものはどれか。","広告宣伝メールの受信を拒否する旨の意思表示がないことを確認したのち,公表されている企業のメールアドレス宛てに広告宣伝メールを送信した。","受信者から拒否通知があった場合には,それ以降の送信を禁止すればよいと考え,広告宣伝メールを送信した。","内容は事務連絡と料金請求なので問題ないと考え,受信者本人の同意なく,メールを送信した。","長年の取引関係にある企業担当者に対して,これまで納入してきた製品の新バージョンが完成したので,その製品に関する広告宣伝メールを送信した。",イ,"特定電子メール法では,原則として受信者の事前同意（オプトイン）がない広告宣伝メールの送信は禁止されている。",
202507,ストラテジ,"新しい概念やアイディアの実証を目的とした,開発の前段階における検証を表す用語はどれか。",CRM,PoC,RAS,SLA,イ,"PoC（Proof of Concept）は,新しい概念やアイディアが実現可能かを開発前段階で検証することを指す用語である。",
202508,ストラテジ,"AIの機械学習で利用するデータの取扱いに関する記述のうち, バイアスの低減や
データの品質を確保するために考えられる対策として, 適切なものだけを全て挙げたものはどれか。 
a　学習の目的に適したデータであることを確認する。 
b　データの入手元 作成来歴を確認する。 
c　データへのアノテーションの付与は学習目的に合わせて実施する。 
d　人間の目でも同定が困難と考えられる画像認識用のデータは除外する。","a,b","a,b,c,d","a,d","b,c,d",イ,"バイアス低減やデータ品質確保には,目的適合性の確認,入手元・来歴の確認,目的に合ったアノテーション,人間でも識別困難なデータの除外はいずれも有効な対策である。",
202509,ストラテジ,"ハッカソンに関する記述として,最も適切なものはどれか。","定められたルールの下,ある主題について,肯定派と否定派といった異なる立場に分かれて議論する。","情報セキュリティ分野で活躍したいという意志をもった若者が,合宿形式で情報セキュリティに関する実践的な知識を学ぶ。","プログラマーやデザイナーなどから成る複数の参加チームが,与えられたテーマに関するプロトタイプを短期間で作成し,その成果を発表して競い合う。","問題解決や利用者獲得などゲーム的な要素のない分野に,デジタル技術を活用したゲームの要素を取り入れることによって,利用者の参加を動機づける。",ウ,"ハッカソンは,プログラマーやデザイナーなどがチームを組み,短期間でテーマに沿ったプロトタイプを開発し,その成果を発表・競い合うイベントである。",
202510,ストラテジ,"生成AIにおいて,もっともらしいが事実とは異なる内容が出力されることを表す用語として,最も適切なものはどれか。",エコーチェンバー,シンギュラリティ,ディープフェイク,ハルシネーション,エ,生成AIがもっともらしいが事実ではない内容を出力する現象はハルシネーションと呼ばれる。,
202511,ストラテジ,"スマートファクトリーにおいても使用されている, FMS(Flexible Manufacturing System)に関する記述として,最も適切なものはどれか。","技術革新を効果的に自社の経営に取り入れることによって,企業の成長を図る。","生産工程の各段階で,原材料から完成製品までの資材の流れを適時・適量に管理する。","生産時に必要となる部品などを必要な分だけ供給することによって,生産リードタイムを短縮する。","複数の工作機械や産業用ロボットなどを有機的に結合し,生産プロセス全体を統括的に制御・管理する。",エ,"FMS（Flexible Manufacturing System）は,複数の工作機械や産業用ロボットなどを連携させ,全体を統合的に制御・管理する生産システムであり,多品種少量生産に柔軟に対応できる。",
