id,ジャンル,満点,問題文,必須キーワード,模範解答
1,ストラテジ,5,リスクアセスメント,"ISO規格,リスク特定,リスク分析,リスク評価,プロセス全体",リスクアセスメントとは、ISO規格では、リスク特定、リスク分析、リスク評価を網羅するプロセス全体を指す。
2,ストラテジ,5,OJT,"職場での実務,企業内教育手法,上司や先輩による指導,知識・技術・技能の修得,業務処理能力の育成",OJTとは、職場で実務をさせることで行う従業員の職業教育のことである。企業内で行われるトレーニング手法、企業内教育手法の一種である。職場の上司や先輩が、部下や後輩に対し具体的な仕事を与えて、その仕事を通して、仕事に必要な知識・技術・技能・態度などを意図的・計画的・継続的に指導し、修得させることによって全体的な業務処理能力や力量を育成する活動である。
3,ストラテジ,7,データウェアハウス,"企業内,システム,アプリ,クラウドサービス,定期的,時系列,蓄積",データウェアハウスとは、企業内のシステムやアプリ、クラウドサービスなどから定期的にデータを時系列に蓄積していくシステムのことである。
4,マネジメント,5,ブラックボックステスト,"覗き見することなく,アプリケーション,機能を調べる,ソフトウェアテストの手法,仕様ベースのテスト",内部構造や動作を覗き見することなく、アプリケーションの機能を調べるソフトウェアテストの手法のことである。アプリケーションを見えない箱として扱い、入力と結果の整合性を確認する。このテスト方法は、ソフトウェアテストのすべてのレベル（単体テスト、統合テスト、システムテスト、受け入れテスト）に適用できる。仕様ベースのテストと呼ばれることもある。
5,マネジメント,14,リバースエンジニアリング,"機械,分解,製品,動作,観察,ソフトウェアの動作,解析,分析,製造方法,動作原理,設計図,仕様,ソースコード,調査",リバースエンジニアリングとは、機械を分解したり、製品の動作を観察したり、ソフトウェアの動作を解析したりして、製品の構造を分析し、そこから製造方法や動作原理、設計図などの仕様やソースコードなどを調査することである。
6,マネジメント,10,ITIL,"ITサービスマネジメント,実現,品質向上,中長期,コストの削減,実在する,運営方式,ノウハウ,収集,書籍化",ITIL(Information Technology Infrastructure Library)とは、ITサービスマネジメントを実現するため、ITサービスの品質向上、中長期的なコストの削減などを目的として実在する企業、サプライヤ、コンサルタントなどからITサービスに関する実際の運営方式やノウハウを収集し、書籍化したもの。
7,テクノロジ,5,ニューラルネットワーク,"人工知能,生物,学習メカニズム,模倣,機械学習手法",人工知能の分野におけるニューラルネットワークは、生物の学習メカニズムを模倣した機械学習手法として広く知られているものであり、「人口ニューロン」と呼ばれる計算ユニットをもち、生物の神経系のメカニズムを模倣しているものである。
8,テクノロジ,4,API,"ソフトウェアコンポーネント,情報,やりとり,インタフェース",API(application programming interface)とは、ソフトウェアコンポーネント同士が情報をやりとりするインタフェースの仕様である。
9,テクノロジ,12,デュアルシステム,"同じ処理,２組,コンピュータシステム,クロスチェック,システム構成,冗長化,サブシステム,稼働,片側,障害,故障時,異常検出",デュアルシステムとは、同じ処理を2組のコンピュータシステムで行い、その結果を照合機でクロスチェックし、処理の正しさを確認しながら処理を進行していくシステム構成。サーバー本体のみならず、電源やケーブル、データベースなどすべてを二重化する。コンピュータ・システムで冗長化を行うことが多く、システム内部に相似形のサブシステムを常に並列して稼働させておき、片側に障害が生じたときでも停滞なくもう片側だけで基本的なサービスが行えるように設計・運用されているのがデュアルシステムである。障害発生時には、問題のある側のシステムをメイン処理から切り離し、残された側のシステムのみで処理を続行しつつ、障害からの回復を図る。故障時の切り替えだけでなく処理結果の比較によって異常検出や多数決が行えるのも特徴である。
10,テクノロジ,5,デフォルトゲートウェイ,"内部ネットワーク,外部ネットワーク,接続,ノード,ルーター",デフォルトゲートウェイとは、内部ネットワークと外部ネットワークを接続するためのノードである。IPネットワークにおいて、経路がわからないIPアドレス宛てのパケットは、デフォルトゲートウェイまたはデフォルトルートに転送される。一般的に、デフォルトゲートウェイはルーターである。
